"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez"
"57085",262.172374289023,0.0589364229184968,0.203276911258312,0.289931712134311,0.771868480326748,0.867271523285267,"57085"
"284498",179.723798192381,-0.452851140790844,0.149248741367114,-3.0342040853594,0.00241171221315979,0.0160081314477073,"284498"
"4524",1059.28953162248,-0.121311141807292,0.0692024260656154,-1.75298972455487,0.0796037708803949,0.19891636596635,"4524"
"1185",2876.07406573074,-0.0903335450548832,0.0707990182469176,-1.27591522159018,0.201985489657324,0.374202717295283,"1185"
"100379251",285.969257203988,-0.162394583178552,0.151524965953213,-1.07173482704292,0.283839153290959,0.469518662551369,"100379251"
"4878",62.4304571877189,0.103797391899755,0.172074224058537,0.603212901105078,0.546367066336679,0.708210037490237,"4878"
"90231",1200.69005118062,-0.0858889619282386,0.0929033611781966,-0.924497895867257,0.355227146491992,0.541006102101589,"90231"
"5351",1404.78600437098,0.270697586634822,0.114562598413152,2.36287925015976,0.0181335768950378,0.0693221545345139,"5351"
"9927",5236.46945083648,-0.237472431817111,0.0605869345958977,-3.91953204764366,8.87210638056626e-05,0.00138203578542902,"9927"
"60672",674.147981837068,0.0519116817776275,0.13196849735117,0.39336419539195,0.694050510518177,0.816602316630639,"60672"
"943",4.01770672537568,0.859572511693115,0.474236437616702,1.81253999800804,0.0699027994610418,0.182098422377265,"943"
"7133",421.893768748816,0.75655795456735,0.23451676202915,3.22602933803645,0.00125520489853408,0.00996582416371646,"7133"
"55187",4143.84083644082,-0.136507930150465,0.0895281515156702,-1.52474867222711,0.127321796672935,0.274607096956866,"55187"
"677885",18.0538159510587,-0.38267836025103,0.218486667427384,-1.75149525029126,0.0798606387260745,0.199315093971534,"677885"
