symbol	entrez	cor_ctrl	cor_hd	padj_ctrl	padj_hd	group
RAD9B	144715	0.865204081632653	0.691729323308271	1.85838615659371e-12	0.0208461911848509	Both
EP400P1	347918	-0.679795918367347	-0.691729323308271	1.66003371256051e-06	0.0208461911848509	Both
KLHDC2	23588	0.748979591836735	0.691729323308271	3.63885177446585e-08	0.0208461911848509	Both
HIF1A	3091	0.0775510204081633	-0.691729323308271	0.694877272831131	0.0208461911848509	HD_only
PKD1L2	114780	-0.442448979591837	-0.691729323308271	0.00541839014602901	0.0208461911848509	Both
SAT2	112483	0.248979591836735	0.691729323308271	0.152314551618026	0.0208461911848509	HD_only
CIC	23152	-0.615714285714286	-0.691729323308271	2.70740660491766e-05	0.0208461911848509	Both
LILRA6	79168	-0.118673469387755	-0.691729323308271	0.531391910282778	0.0208461911848509	HD_only
FLNA	2316	-0.510612244897959	-0.691729323308271	0.000937216118856475	0.0208461911848509	Both
NBPF1	55672	-0.51969387755102	-0.690225563909774	0.000717812700550609	0.0213466607448874	Both
LOC105374836	105374836	0.522551020408163	0.690225563909774	0.000659157807971994	0.0213466607448874	Both
ST3GAL5	8869	0.569081632653061	0.690225563909774	0.000148969939379767	0.0213466607448874	Both
C3orf62	375341	-0.289081632653061	0.690225563909774	0.0903811439900922	0.0213466607448874	HD_only
RFC4	5984	0.487040816326531	0.690225563909774	0.00178579290211036	0.0213466607448874	Both
EPB41L4A-AS1	114915	0.406224489795918	0.690225563909774	0.0119712246001706	0.0213466607448874	Both
GRPEL2	134266	0.647551020408163	0.690225563909774	7.22857956551583e-06	0.0213466607448874	Both
AMPD3	272	-0.148265306122449	-0.690225563909774	0.422826195460065	0.0213466607448874	HD_only
WASH8P	100288778	-0.417142857142857	0.690225563909774	0.0095415904097371	0.0213466607448874	Both
GEMIN2	8487	0.565408163265306	0.690225563909774	0.000169030890423311	0.0213466607448874	Both
PET117	100303755	0.69530612244898	0.690225563909774	7.47985825457862e-07	0.0213466607448874	Both
PDCL3	79031	0.370102040816326	0.688721804511278	0.0242486290133321	0.0218091678210394	HD_only
MIR9-2	407047	-0.27265306122449	-0.688721804511278	0.1130250115515	0.0218091678210394	HD_only
TIMM23B-AGAP6	113218477	-0.620510204081633	-0.688721804511278	2.24908652896552e-05	0.0218091678210394	Both
CCDC6	8030	0.535	0.688721804511278	0.000454790491630885	0.0218091678210394	Both
UROS	7390	0.52469387755102	0.688721804511278	0.000618533097172569	0.0218091678210394	Both
L3HYPDH	112849	-0.0268367346938776	-0.688721804511278	0.897714593788748	0.0218091678210394	HD_only
ULK4P1	89838	-0.229285714285714	-0.688721804511278	0.191795961698363	0.0218091678210394	HD_only
PAM16	51025	0.111326530612245	0.688721804511278	0.560077087046803	0.0218091678210394	HD_only
PDF	64146	0.267959183673469	0.688721804511278	0.120105896540351	0.0218091678210394	HD_only
DCAKD	79877	-0.562244897959184	-0.688721804511278	0.000187944641133162	0.0218091678210394	Both
BAHCC1	57597	-0.687959183673469	-0.688721804511278	1.08451609514328e-06	0.0218091678210394	Both
KPTN	11133	-0.171530612244898	0.688721804511278	0.345438041801497	0.0218091678210394	HD_only
RBM38-AS1	100291105	-0.489897959183673	-0.688721804511278	0.00165276092593877	0.0218091678210394	Both
HMGN1	3150	0.0781632653061224	-0.688721804511278	0.692213903508444	0.0218091678210394	HD_only
